lon,lat,year,geoUncertaintyInM,areaInM2,region,country,speciesId,surveyId,subset
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,5335.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,6788.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,5181.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,10902.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,10991.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,9190.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,2398.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,10307.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,5335.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,7942.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,8670.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,2747.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,2783.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,2474.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,10991.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,5103.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,544.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,1597.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,2885.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,3661.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,9771.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,10307.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,10268.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,6883.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,8512.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,3177.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,1472.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,1378.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,1597.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,3068.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,8807.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,1086.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,1746.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,6684.0,80000,train
20.476806,48.130972,2017,11.0,150.0,PANNONIAN,Hungary,6684.0,80000,train
