observation_id;latitude;longitude;species_id;GBIF_species_id;GBIF_species_name;GBIF_genus_name;GBIF_family_name;GBIF_kingdom_name;cell_id;cell_AEE_reference_grid_FR_10km_code;subset
10000173;45.1802787780762;5.7888889312744105;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;8081;10kmE398N246;train
10000285;45.9438972473145;6.08574104309082;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;8380;10kmE401N254;train
10000931;47.320728302002;-1.34022498130798;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;3115;10kmE346N275;train
10001340;44.3211135864258;-1.16769349575043;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;2833;10kmE343N242;train
10001769;48.705989837646506;2.0659356117248504;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5595;10kmE373N287;test
10003863;43.93891906738279;2.1464638710022;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5142;10kmE369N234;val
10004370;43.933666229248;2.16507411003113;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5142;10kmE369N234;val
10004632;45.6885795593262;5.019025325775151;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;7572;10kmE393N252;train
10005838;48.2514953613281;3.32117462158203;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;6511;10kmE382N281;train
10007214;48.3942184448242;2.8532497882843;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;6211;10kmE379N283;train
10007389;46.1178131103516;3.08513617515564;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;6082;10kmE378N258;train
10007428;45.64277648925779;-1.06944441795349;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;3096;10kmE346N256;train
10008682;43.9086990356445;-1.31976306438446;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;2683;10kmE341N237;train
10009247;43.8846626281738;4.85303688049316;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;7245;10kmE390N232;train
10009416;45.4229850769043;1.6286801099777202;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;4871;10kmE366N251;train
10009912;48.598331451416;-2.15687322616577;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;2809;10kmE342N290;train
10011624;45.341423034668;4.24072790145874;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;6864;10kmE386N248;train
10013018;43.649959564209006;1.5246981382370002;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;4571;10kmE363N232;train
10014582;43.662223815918;1.52138888835907;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;4571;10kmE363N232;train
10015876;49.9183349609375;1.07611107826233;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5112;10kmE368N301;test
10017172;43.43802642822271;6.65073108673096;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;8630;10kmE404N226;train
10017387;49.5911140441895;2.99418258666992;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;6429;10kmE381N296;train
10018515;48.17265319824221;1.37521719932556;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5093;10kmE368N282;train
10018726;49.3394432067871;0.58944445848465;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;4634;10kmE363N295;train
10019979;48.5922241210938;0.170000001788139;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;4267;10kmE359N287;val
10020883;45.4708480834961;-0.158758327364922;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;3619;10kmE352N253;train
10021698;48.85148620605471;2.40341353416443;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5903;10kmE376N288;val
10021894;49.0857849121094;1.8935979604721105;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5599;10kmE373N291;train
10023772;49.1666679382324;1.7736110687255902;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5499;10kmE372N292;val
10023978;42.57601165771489;2.29160976409912;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;5030;10kmE368N219;train
10024262;49.6009712219238;4.73730754852295;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;7716;10kmE394N295;test
10024440;49.37692642211911;0.447462886571884;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;4544;10kmE362N296;train
10024563;48.6831359863281;-1.8493726253509504;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;3045;10kmE345N291;train
10025178;48.5253486633301;-2.00291657447815;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;2880;10kmE343N289;train
10025509;44.2249221801758;4.06844186782837;1;2927190;Mentha suaveolens;Mentha;Lamiaceae;Plantae;6657;10kmE384N236;train
