lon,lat,year,geoUncertaintyInM,areaInM2,region,country,speciesId,surveyId,geometry,in_polygon
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,6874.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,476.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,11157.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,8784.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,4530.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,10520.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,9458.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,982.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,51.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,3935.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,11193.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,2421.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,2159.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,9030.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,2932.0,212,POINT (3.099038 43.134956),True
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,1304.0,212,POINT (3.099038 43.134956),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,6039.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,1736.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,3251.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,1304.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,7536.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,6684.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,5721.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,6945.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,51.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,876.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,10953.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,1254.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,3345.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,3043.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,6684.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,11157.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,2932.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,6555.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,476.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,1304.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,1497.0,878,POINT (5.71258 43.542),True
5.71258,43.542,2021,10.0,200.0,MEDITERRANEAN,France,5412.0,878,POINT (5.71258 43.542),True
3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,1587.0,1650,POINT (3.0315 42.749162),True
3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,5907.0,1650,POINT (3.0315 42.749162),True
3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,5018.0,1650,POINT (3.0315 42.749162),True
3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,10289.0,1650,POINT (3.0315 42.749162),True
3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,1894.0,1650,POINT (3.0315 42.749162),True
3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,4916.0,1650,POINT (3.0315 42.749162),True
3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,8243.0,1650,POINT (3.0315 42.749162),True
3.0315,42.749162,2018,10.0,16.0,MEDITERRANEAN,France,1062.0,1650,POINT (3.0315 42.749162),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,7244.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,10950.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,4892.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,3983.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,3803.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,7576.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,1051.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,9158.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,7418.0,1741,POINT (4.991745 43.433207),True
4.991745,43.433207,2018,0.0,1.0,MEDITERRANEAN,France,3255.0,1741,POINT (4.991745 43.433207),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,7871.0,1972,POINT (3.958843 43.567651),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,7054.0,1972,POINT (3.958843 43.567651),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,5739.0,1972,POINT (3.958843 43.567651),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,9803.0,1972,POINT (3.958843 43.567651),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,3958.0,1972,POINT (3.958843 43.567651),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,812.0,1972,POINT (3.958843 43.567651),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,4628.0,1972,POINT (3.958843 43.567651),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,2101.0,1972,POINT (3.958843 43.567651),True
3.958843,43.567651,2020,3.0,25.0,MEDITERRANEAN,France,9905.0,1972,POINT (3.958843 43.567651),True
3.141879,43.259381,2019,10.0,-inf,MEDITERRANEAN,France,822.0,2472,POINT (3.141879 43.259381),True
3.141879,43.259381,2019,10.0,-inf,MEDITERRANEAN,France,6707.0,2472,POINT (3.141879 43.259381),True
3.141879,43.259381,2019,10.0,-inf,MEDITERRANEAN,France,5786.0,2472,POINT (3.141879 43.259381),True
3.141879,43.259381,2019,10.0,-inf,MEDITERRANEAN,France,3216.0,2472,POINT (3.141879 43.259381),True
3.141879,43.259381,2019,10.0,-inf,MEDITERRANEAN,France,1018.0,2472,POINT (3.141879 43.259381),True
3.141879,43.259381,2019,10.0,-inf,MEDITERRANEAN,France,6491.0,2472,POINT (3.141879 43.259381),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,11157.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,3937.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,2539.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,3893.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,1736.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,9458.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,2564.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,3495.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,7871.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,1254.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,5398.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,868.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,9247.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,6226.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,2756.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,3438.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,7628.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,5557.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,8340.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,9714.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,1169.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,7536.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,6410.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,3935.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,982.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,10419.0,3014,POINT (4.160367 44.311934),True
4.160367,44.311934,2019,0.0,250.0,MEDITERRANEAN,France,5412.0,3014,POINT (4.160367 44.311934),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,7714.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,6542.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,10346.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,838.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,10286.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,2629.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,2120.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,1092.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,1028.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,82.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,2429.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,6555.0,4544,POINT (5.38642 44.0729),True
5.38642,44.0729,2020,10.0,30.0,MEDITERRANEAN,France,8472.0,4544,POINT (5.38642 44.0729),True
