lon,lat,year,geoUncertaintyInM,areaInM2,region,country,speciesId,surveyId,geometry,in_polygon,split,source,id,x_EPSG_32631,y_EPSG_32631,GbifPNIllu_matching_ids
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,6874.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,476.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,11157.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,8784.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,4530.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,10520.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,9458.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,982.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,51.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
3.099038,43.134956,2021,5.0,100.0,MEDITERRANEAN,France,3935.0,212,POINT (3.099038 43.134956),True,train,glc24_CBN-Med,212,508054.73470888974,4775806.367403597,2644234540 2643566151 3949867233 2645716185 3997873311 2974444898 3949406757 2645974389 2644931102 2644347307 2645028129 3949135896 2643562022 2643559866 2974643911 2644931116 3949862113 2645194143 2645861248 2644967993 2644965979 2643559844 2644848861 
